Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2010-01-26,28.7,28700.0,1.3(4.74 %),7160,205239000,0,0,28500.0,28700.0,28400.0
2010-01-27,27.5,27500.0,-1.2(-4.18 %),11040,309017000,0,0,28700.0,29900.0,27500.0
2010-01-28,27.2,27200.0,-0.3(-1.09 %),9220,253049000,0,0,26900.0,28000.0,26900.0
2010-01-29,26.6,26600.0,-0.6(-2.21 %),6700,180262000,0,0,27500.0,27500.0,26500.0
2010-02-01,27.9,27900.0,1.3(4.89 %),3360,93064000,0,0,27400.0,27900.0,27400.0
2010-02-02,27.2,27200.0,-0.7(-2.51 %),3520,96183000,0,0,26900.0,28800.0,26900.0
2010-02-03,28.0,28000.0,0.8(2.94 %),5800,162300000,0,0,28000.0,28000.0,27900.0
2010-02-04,28.0,28000.0,0(0.00 %),5380,150798000,0,0,28000.0,28100.0,28000.0
2010-02-05,27.0,27000.0,-1(-3.57 %),9590,257919000,0,0,27500.0,27500.0,26700.0
2010-02-08,27.0,27000.0,0(0.00 %),6790,183086000,0,0,26800.0,27000.0,26800.0
2010-02-09,28.0,28000.0,1(3.70 %),1590,43350000,0,0,28000.0,28000.0,27000.0
2010-02-10,28.3,28300.0,0.3(1.07 %),920,25390000,0,0,28700.0,28700.0,27000.0
2010-02-11,27.9,27900.0,-0.4(-1.41 %),1620,44689000,0,0,27500.0,28000.0,27400.0
2010-02-12,28.0,28000.0,0.1(0.36 %),2240,62817000,0,0,28300.0,28300.0,28000.0
2010-02-22,28.0,28000.0,0(0.00 %),6460,181188000,0,0,28500.0,28500.0,28000.0
2010-02-23,27.0,27000.0,-1(-3.57 %),4640,125339000,0,0,27100.0,27300.0,27000.0
2010-02-24,27.0,27000.0,0(0.00 %),1840,49500000,0,0,27000.0,27000.0,26800.0
2010-02-25,27.5,27500.0,0.5(1.85 %),2540,69843000,0,0,28000.0,28000.0,26800.0
2010-02-26,27.5,27500.0,0(0.00 %),1260,34650000,0,0,27500.0,27500.0,27500.0
2010-03-01,27.5,27500.0,0(0.00 %),6990,190410000,0,0,27300.0,27500.0,27000.0
2010-03-02,27.5,27500.0,0(0.00 %),5450,149835000,0,0,27500.0,27700.0,27300.0
2010-03-03,27.5,27500.0,0(0.00 %),12030,329805000,0,0,27500.0,27500.0,27100.0
2010-03-04,28.2,28200.0,0.7(2.55 %),18470,517525000,0,0,27500.0,28500.0,27500.0
2010-03-05,28.2,28200.0,0(0.00 %),3170,88662000,0,0,28800.0,28800.0,27600.0
2010-03-08,29.0,29000.0,0.8(2.84 %),23160,667751000,0,0,28700.0,29000.0,28400.0
2010-03-09,29.9,29900.0,0.9(3.10 %),19780,590581000,0,0,29900.0,29900.0,29700.0
2010-03-10,29.1,29100.0,-0.8(-2.68 %),8070,235874000,0,0,28600.0,30300.0,28600.0
2010-03-11,29.5,29500.0,0.4(1.37 %),16190,482903000,0,0,30000.0,30000.0,29500.0
2010-03-12,29.5,29500.0,0(0.00 %),8040,239491000,0,0,30700.0,30700.0,29500.0
2010-03-15,29.9,29900.0,0.4(1.36 %),15990,470610000,0,0,29300.0,30000.0,29300.0
2010-03-16,28.8,28800.0,-1.1(-3.68 %),13230,383411000,0,0,29000.0,29200.0,28800.0
2010-03-17,27.4,27400.0,-1.4(-4.86 %),17750,488088000,0,0,28000.0,29200.0,27400.0
2010-03-18,27.1,27100.0,-0.3(-1.09 %),15930,435802000,0,0,27900.0,27900.0,27000.0
2010-03-19,27.7,27700.0,0.6(2.21 %),11510,315476000,0,0,27100.0,27900.0,27100.0
2010-03-22,29.0,29000.0,1.3(4.69 %),51920,1505680000,0,0,29000.0,29000.0,29000.0
