Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2017-11-10,7.67,9980,0.26(2.67 %),10,0,0,0,9980,9980,9980
2017-11-13,7.87,10250,0.27(2.71 %),40,0,0,0,10200,10250,10200
2017-11-14,8.3,10800,0.55(5.37 %),10,0,0,0,10800,10800,10800
2017-11-15,8.3,10800,0(0.00 %),0,0,0,0,10800,10800,10800
2017-11-16,7.72,10050,-0.75(-6.94 %),90,1000000,0,0,10050,10050,10050
2017-11-17,7.91,10300,0.25(2.49 %),1280,12000000,0,0,9370,10750,9360
2017-11-20,7.91,10300,0(0.00 %),0,0,0,0,10300,10300,10300
2017-11-21,8.3,10800,0.5(4.85 %),10,0,0,0,10800,10800,10800
2017-11-22,7.72,10050,-0.75(-6.94 %),4030,41000000,0,0,10800,10800,10050
2017-11-23,7.72,10050,0(0.00 %),0,0,0,0,10050,10050,10050
2017-11-24,7.72,10050,0(0.00 %),240,2000000,0,0,10050,10050,9500
2017-11-27,7.72,10050,0(0.00 %),5380,50000000,0,0,9400,10050,9350
2017-11-28,7.76,10100,0.05(0.50 %),30,0,0,0,10200,10200,10100
2017-11-29,7.76,10100,0(0.00 %),110,1000000,0,0,10100,10100,10100
2017-11-30,7.22,9400,-0.7(-6.93 %),3420,34000000,0,0,10050,10050,9400
2017-12-01,7.61,9900,0.5(5.32 %),1600,15000000,0,0,9450,10000,9450
2017-12-04,7.68,9990,0.09(0.91 %),3180,29000000,0,0,9900,10500,9210
2017-12-05,7.3,9500,-0.49(-4.90 %),340,3000000,0,0,9900,9950,9500
2017-12-06,7.68,10000,0.5(5.26 %),230,2000000,0,0,9400,10100,9400
2017-12-07,7.17,9330,-0.67(-6.70 %),70,1000000,0,0,9330,9330,9330
2017-12-08,7.59,9880,0.55(5.89 %),200,2000000,0,0,9400,9880,9400
2017-12-11,7.59,9880,0(0.00 %),350,3000000,0,0,9990,9990,9310
2017-12-12,7.07,9200,-0.68(-6.88 %),5940,55000000,0,0,10150,10150,9200
2017-12-13,7.52,9790,0.59(6.41 %),10,0,0,0,9790,9790,9790
2017-12-14,7.5,9760,-0.03(-0.31 %),10,0,0,0,9760,9760,9760
2017-12-15,7.3,9500,-0.26(-2.66 %),2160,20520000,0,0,9690,9690,9500
2017-12-18,7.15,9310,-0.19(-2.00 %),60,1000000,0,0,9400,9400,9310
2017-12-19,7.14,9300,-0.01(-0.11 %),20,0,0,0,9770,9770,9300
2017-12-20,7.13,9280,-0.02(-0.22 %),110,1000000,0,0,9850,9850,9280
2017-12-21,7.08,9210,-0.07(-0.75 %),80,1000000,0,0,9820,9820,9210
2017-12-22,7.08,9220,0.01(0.11 %),110,1000000,0,0,9010,9650,9010
2017-12-25,7.08,9220,0(0.00 %),60,1000000,0,0,9020,9220,9020
2017-12-26,7.08,9210,-0.01(-0.11 %),20,0,0,0,9030,9210,9030
2017-12-27,6.9,8980,-0.23(-2.50 %),350,3000000,0,0,9040,9400,8980
2017-12-28,6.91,9000,0.02(0.22 %),3810,34000000,0,0,9000,9490,8990
2017-12-29,7.28,9480,0.48(5.33 %),170,2000000,0,0,9000,9480,8990
2018-01-02,6.81,8860,-0.62(-6.54 %),260,2440000,0,0,9490,10000,8860
2018-01-03,6.38,8300,-0.56(-6.32 %),1040,9000000,0,0,8500,8500,8300
2018-01-04,6.38,8310,0.01(0.12 %),870,7000000,0,0,8300,8840,8300
2018-01-05,6.67,8680,0.37(4.45 %),1370,12000000,0,0,8660,8680,8660
2018-01-08,6.57,8550,-0.13(-1.50 %),210,2000000,0,0,9280,9280,8550
2018-01-09,7.02,9100,0.59(6.90 %),3170,27000000,0,0,8550,9100,8390
2018-01-10,7.3,9500,0.36(3.94 %),880,8000000,0,0,9200,9500,9000
2018-01-11,7.53,9800,0.3(3.16 %),10,0,0,0,9800,9800,9800
2018-01-12,7.68,9990,0.19(1.94 %),2190,20010000,0,0,9120,9990,9120
2018-01-15,7.61,9900,-0.09(-0.90 %),4430,41900000,0,0,9400,9900,9300
2018-01-16,7.38,9600,-0.3(-3.03 %),1100,11000000,0,0,9900,9900,9600
2018-01-17,7.23,9410,-0.19(-1.98 %),1120,11000000,0,0,9700,9900,9410
2018-01-18,7.11,9260,-0.15(-1.59 %),1220,12000000,0,0,9010,9900,9010
2018-01-19,7.04,9160,-0.1(-1.08 %),80,1000000,0,0,9700,9880,9160
2018-01-22,7.07,9200,0.04(0.44 %),360,3000000,0,0,9200,9200,9000
